source,target,weight
1942570267,954124423,1
1945996921,302111485,1
1947945529,869193235918454786,1
194971697,302111485,2
1951406928,2596413645,1
1959341250,98996662,1
19716616,738153522277945344,1
1977944353,954124423,1
197838315,954124423,1
19893103,2596413645,1
199395341,2596413645,1
20150855,954124423,1
201989602,78523300,1
205081071,954124423,1
20540028,302111485,1
205472863,954124423,1
20617541,954124423,1
2063181,287843201,1
206586228,302111485,1
20666494,35454721,1
208105850,954124423,1
20835401,2596413645,1
209004225,1525739881,1
20932641,738153522277945344,1
209387058,2596413645,1
210643324,954124423,1
210678246,954124423,1
21111999,3244921294,1
212264238,23089228,1
214544700,51007606,1
214544700,759446440263372805,1
214544700,802263507597139968,2
214544700,823516964,1
215894644,2596413645,1
216044706,2596413645,1
2163080275,954124423,1
2163550260,3244921294,3
2163550260,3375577991,1
2167037084,954124423,1
2167674121,2596413645,1
216928263,954124423,1
2172122610,869193235918454786,1
2173508552,897619242,2
2177097448,327610738,1
2179519747,302111485,1
21823306,302111485,1
2184005801,285994737,1
2190880033,847735496633536512,1
2197345828,98996662,1
2201102613,2897665331,1
2201102613,66732993,2
