id,mentioned_id,mentioned_screen_name
993656800732827649,25073877,realDonaldTrump
993656800732827649,818927131883356161,PressSec
993656800732827649,39344374,DonaldJTrumpJr
993656800732827649,39349894,EricTrump
993656800732827649,41634520,seanhannity
993656800732827649,14529929,jaketapper
993164260632092672,112769454,pjcolbeck
993666118437847041,19017675,Nigel_Farage
993499793073803264,952660699939049472,Phaedra_Valk
993499793073803264,983870945315184640,VoiceOfAnne
989995955423342592,236711681,Tostitos
993192166485721090,17076218,nyjets
993512772343291904,822215679726100480,POTUS
1004234585297674240,20421141,fordoers
1004234585297674240,364477412,CapitalOne
1004234585297674240,75974281,SamuelLJackson
1004234585297674240,885733974,Stonewall_77
1004234585297674240,393190233,LeahR77
1004234585297674240,913539750149070849,DanCovfefe1
1004234585297674240,33410754,JVER1
1004234585297674240,69190453,LVNancy
1004234585297674240,2167674121,CarmineZozzora
1005205315397259264,4905489755,GreyRebel65
1004559285966143489,393190233,LeahR77
1005269200061886464,16364668,SteveHeimoff
1005565220239106049,882638615322537985,History1History
1005565220239106049,1003401865042616320,WarInTheEast
1005211191638142976,977465493471756288,MithridatCastle
1005211191638142976,2612026206,DavidLPhillips4
1005568680527196160,2252033361,rubdent
1005568680527196160,217749896,MLP_officiel
1005212470900936705,705153635819364352,Nitrvte
1005212470900936705,801867338282844161,henm02
1005212470900936705,353780675,csgo_dev
1005212470900936705,2920047010,opskinsgo
1004786778375483392,375721095,Breaking911
1004117044411842560,1652541,Reuters
1004571023382077440,13393052,ACLU
1004861281814351872,945711120857419778,EuropeAwakening
1004643124650631169,3187169090,jonoscott5
1005220000918114304,1628459592,shervanderwish
1005432357288103936,19397942,SadiqKhan
1004678611570393088,709424262604570624,Empress_Wife
1004678611570393088,1493827735,Frigg_8814
1005495924750090241,2596413645,carrieksada
1005495924750090241,725064846056640512,ReneeCarrollAZ
1005495924750090241,828473644640718848,TheRealJohnHCox
1005495924750090241,591505507,michaelbeatty3
1005495924750090241,913539750149070849,DanCovfefe1
1005495924750090241,4855731869,CaliConsrvative
1005495924750090241,261749735,steph93065
1005495924750090241,3995778614,KamVTV
1005147007659454465,33998866,lifetimefitness
1004857955479670785,223238208,Brakecharity
1004401332915015681,822215679726100480,POTUS
991823988765614081,20517214,jeffhulme
991823988765614081,4057041507,talleststone
1005229935974371328,9624742,StateDept
1005229935974371328,1967216306,statedeptspox
1005229935974371328,66369181,DeptofDefense
1005229935974371328,25073877,realDonaldTrump
1005229935974371328,68034431,RT_Erdogan
1004498355773493250,55355654,thinkprogress
1005023135811473409,179242141,WillHillRacing
1003794988747116544,912493092,Mariah_Leonne
1003794988747116544,854694701110263810,Gocumbabes1
1003794988747116544,701997392946573312,UraSwallow
1003794988747116544,2179776147,welove_cum
1003794988747116544,830840755472232448,cum_enforce
1003794988747116544,740492792867217408,jizzedgirls
1003794988747116544,2701578949,GiveUMyCum
1005144138344488960,311941597,MSTanrikulu
1004418787951742976,813286,BarackObama
1004694760899203072,72362869,JordanClarksons
1004694760899203072,19263978,cavs
1004875299182428160,3150627818,wildhogking
1004875299182428160,975476700090978304,KweenElizabeth_
1004875299182428160,917413217768484864,Americana4MySon
1005298810627678209,1114631166,ConservaMomUSA
1005298810627678209,33410754,JVER1
1005298810627678209,796403983476736000,ColoradoGirl2A
1005298810627678209,200163987,DrLee4America
1005298810627678209,3406938525,thebradfordfile
1005298810627678209,920021135231553536,USAHotLips
1005298810627678209,23769223,ArizonaKayte
1005298810627678209,69190453,LVNancy
