id,lang,text
991690760406884352,en,@ritamay1 @Sashainua @overjas @LambersAlie @anthony77631293 @Amyperuana @lagatta4739 @CreativeTanja @Hakflak @BPerrionni @MOCarballeira @BrindusaB1 @MariangelaSant8 @Papryka5 @deOzAlice @albertopetro2 @scastaldi9 @monicasloves @mariaireneali @angela3nipoti1 @paoloigna1 @dianadep1 @yebosfaye @Biagio960 @agustin_gut @peac4love @huskorkut @emanuelaneri14 @ele9061 @ataturca @Cassini_jon @1jrv1 @peterwalt7 @ceconomou56 @overlooki @simonjetz @GaiaGaudenzi @LunaLeso Thank you Rita. Sidaner is really exceptional. 💐
991312342884462596,en,me figuring out what to wear https://t.co/g54ZUEbh0S
991687086011908096,en,"JH: I really want to raise a pet bcs I want to pour my love to it JN: Ah... please pour it, to me~ JH: Ah John-D... but such a hugeee John-D, okay... 😂 JN: Such a pity~ https://t.co/Veea47bpM3"
991690760394330114,en,RT RT beckynunez212 #MTVBRPETNUGGET #MTVBRSHADETAYLORKATY #PremiosMTVMiaw #MTVLAINSTAGLCAMILAC
990721606828941313,en,Y’all moan or cuss? Just curious 😂
991162197379297280,en,If the food really hittin I'll do both. https://t.co/HUBHOydqGS
990721606828941313,en,Y’all moan or cuss? Just curious 😂
991162197379297280,en,If the food really hittin I'll do both. https://t.co/HUBHOydqGS
991593551443189760,en,Grateful for those closest to me who have never left my side and love me for who I am.
991690764584341506,en,Ah nuh today
991690764622049280,en,"if you have no idea where:  “ 𝒄𝒐𝒎𝒆 𝒐𝒏 𝒈𝒊𝒓𝒍 𝒍𝒐𝒗𝒆 𝒊𝒔 𝒔𝒐 𝒏𝒖𝒕𝒓𝒊𝒕𝒊𝒐𝒖𝒔 𝒄𝒐𝒎𝒆 𝒐𝒏 𝒈𝒊𝒓𝒍 𝒍𝒐𝒗𝒆 𝒊𝒔 𝒔𝒐 𝒅𝒆𝒍𝒊𝒄𝒊𝒐𝒖𝒔 ”  came from, we can’t be friends."
991690436530978817,en,"rt,dm #img20plus"
991482317771288577,en,orgasms are therapeutic
991625011306815489,en,(Rt plz)   #บฮบลฮ 🔞  —; linho ft. Allseon  🤬 10 : Goodbye My Love  💫https://t.co/ESQqM6hE7N ;;——บรรยาย——;; 🍀https://t.co/t9xStwAmsZ  #linho #ficlinho #allseon #หลินโฮ https://t.co/jvAJiR88wJ
991156542324916224,en,okay but this is insane bc even the TIMING is the same https://t.co/gKv2tZL0d2
991678195660476417,in,"Mosque in Rijeka, Croatia https://t.co/bL5AY6DoAR"
991680420411473920,en,Modern architecture doesn't hit only Catholicism. It doesn't spare Islam either. 😀 https://t.co/2gOGz7lzNA
991678195660476417,in,"Mosque in Rijeka, Croatia https://t.co/bL5AY6DoAR"
991680420411473920,en,Modern architecture doesn't hit only Catholicism. It doesn't spare Islam either. 😀 https://t.co/2gOGz7lzNA
991690764605378562,en,"@d_nurnberg @OANN @POTUS Yes, it is!"
991690764584456193,en,@DoctorDiva51 @Danaleeha @kanyewest Kanye isn't disrespecting anyone. I'm quite positive most of you who are disrespecting him know exactly what he meant. You're just ticked off because he ditched the plantation.
991381321967652864,en,Love you girls ❤️  #GIRLKIND #Broccoli @_girlkind  🥦🥦🥦 https://t.co/lA81A6Clue
991273874745675777,en,Yoongi at any given moment ever: https://t.co/Ne4tmmJz8P
991690764622221312,en,@tulsaworld @aWorldofKC There’s a reason her rescue is full. And it’s not because pigs aren’t allowed in the city limits. It’s because the owners get tired of them or they grow too big and they are dumped.
991101603972198400,en,OH MY GOD LOOK AT HER https://t.co/RFUhbjUaBe
991690768799547398,en,@Sasha03121975 @ShadowhuntersTV Everyone’s entitled to their own opinions.
991662338674606080,en,New State Dept. report reveals U.N. members who don’t back the U.S. https://t.co/ttKpheqzH4
991690768812269569,en,@dinarickman What’s wrong with telling someone they look beautiful today ?
991690768782888960,en,YAAAAAY babyfootuk has arrived in salon😬😬👣👣. Call in to purchase yours 🙌🏼🙌🏼.… https://t.co/bUgvdTqzfz
991690768778657792,en,List of fictional characters that deserved better: 1. Jeff Atkins 2. Spiderman
991690768791277568,en,@SnrHunted @ZenVanye Fine looking woman
991669131463266310,en,"Opening the Windrush debate, Diane Abbott has already had two interventions from Tory MPs asking about her views on illegal immigration. Shouts of, ""Shame!"" from Labour benches. Abbott reminds MPs that debate will be watched by Windrush community and around Commonwealth."
991690768803868674,en,Wednesdays are for #wellness. We're joining @MentalHealthAM for #MHM2018. Improve your Fitness #4Mind4Body by practicing these #mindfulness exercises. https://t.co/UeIO5Pe1Js
991260761262579712,en,Idc for words cause the fakest nigga can say the realest shit
991690768778702848,en,Wednesdays are for wellness. We're joining @MentalHealthAM for #MHM2018. Improve your Fitness #4Mind4Body by practicing these #mindfulness exercises. https://t.co/IFd5CZh954
991690768803823618,en,"Grab yourself a deal with one of our 24 bottle/can mystery boxes! Costs less than £40 and the value inside the box is usually around £60. Remember, you also get free delivery when you spend £50 too! Can't argue with that: https://t.co/rmkOAyn5kB https://t.co/WhGE21Hajj"
991690772981268480,en,People may get tired of your it’s-all-good attitude today beca... More for Libra https://t.co/uXsvpGt2Eh
991546572541489153,en,"[INFO]   ARMY, @BTS_twt will perform the new track from ""LY: Tear"" album - ""Fake Love"" on @TheEllenShow 🎊  💜 Please, give a lot of love and support 💜   👉Mark your calendars: 🗓May 25th   📎: https://t.co/M86dMyndHg  [#PremiosMTVMiaw #MTVBRKPOPBTS #MTVLAKPOPBTS]"
991690772973047808,en,@ramblingsloa A charming path through the mystical forest.
991690772981350401,en,@What_Meow I know!!! 😪😪😪 I’m so heartbroken. Looking like the end of the road for my little egg 💔
991690073560305666,en,"Richard Spencer—the Nazi sympathizer who blitzed college campuses and took them to court—is now without a lawyer and getting seriously sued himself, reports @KELLYWEILL: https://t.co/vtma9cZI0s"
991386499869425664,en,local girls : omg why can’t girls just be nice to eachother 😩✨💕 also local girls : *slut shames *body shames * can’t stop talking shit *can’t mind their business
991515859989516288,en,Getting Kids To Actually Like Reading Again https://t.co/VKSEYt9OAV via @TeacherAndAdmin
991690773010829315,en,"Today's program notes are, as always, at https://t.co/e5yiRGsrC2"
991403300485558274,en,"Kanye thinks slavery was ""a choice"" https://t.co/zoPIDC8cSd"
991690773006553088,en,Kanye is a dumb ass sometimes bruh https://t.co/HxBd6lRaTm
991403300485558274,en,"Kanye thinks slavery was ""a choice"" https://t.co/zoPIDC8cSd"
991690773006553088,en,Kanye is a dumb ass sometimes bruh https://t.co/HxBd6lRaTm
991690773006610432,en,@shreyaghoshal 's UK concert Pics will be lit 🔥🔥🔥🔥🔥🔥💯 Can't wait 😍😍😍😍😍😍😍😍
991690772981407744,en,"dude, millenials are gonna change the world"
991429984450482176,en,"""Michelle Wolf was mean"".  Got it, snowflakes. https://t.co/X94i19opNy"
