id,mentioned_id,mentioned_screen_name
991667853500788736,26946348,WuTangClan
991772322863435776,2269600935,shojohs
991772322863435776,3196813508,AirhisXO
991772322855116800,875924269846454272,CaramelMedley
991772322855116800,587536673,GiffordsCourage
991772322825752576,927468722008227840,adayinsienna
992668226164113408,1652541,Reuters
991772327049355264,6782762,ali
991772327049355264,18643437,PrisonPlanet
991772327049355264,17995040,benshapiro
991772327049355264,17995040,benshapiro
991772327041003520,874332184823386113,FappQueens
991772327049342976,781254430729576449,_KrazyKitty
991772327049342976,1064637260,bpd5150
991772327049342976,702280347782926336,pk2k14
991772327049342976,866850449122402304,coolghost101
991772327049342976,25073877,realDonaldTrump
991772327049342976,11134252,GOP
991772327057616896,204187200,potozurdo
992668230375346177,41592225,BooksBakesBio
991772331218358272,14529929,jaketapper
991772331252092928,308218953,SoHueyG
992684575573860354,53085019,robmclennanblog
991772331218530304,3374828266,IssuesPaneNyaya
991772331218530304,19915362,DFID_UK
991772331218530304,1614903937,WCOZIMBABWE
991772331218530304,957361934,zwBritish
991772331218530304,2408648317,UKinZimbabwe
991772331218530304,764122700616962048,UKSimonT
991772331218530304,19624688,AnderJones
991772331218530304,961815512849178624,JoshuaTMalinga
991772331218530304,4891243906,MoHCCZim
991788672260468737,2722675689,Heatherr_10
991788672243634176,56987921,HelenaBlueSky
991772331222716418,326906324,ScienceSparks
991772331222716418,239098829,techwillsaveus
991772331231105024,945508417510273025,kuwcass
991784510294544390,23231179,SeafoodWatch
991784510294544390,110798209,savingoceans
991788665625030656,46802452,QuadStack
991788672252022784,3299047960,rand_yosh314
991788672247791616,412763199,Daniel_Barnes14
991788672247791616,412763199,Daniel_Barnes14
991788278792839168,3306650878,annmontero1234
991423317348438018,962416211488329728,MerchGiveawaysz
991779939086229505,770781940341288960,RudyGiuliani
991779939086229505,1367531,FoxNews
991779939086229505,770781940341288960,RudyGiuliani
991779939086229505,1367531,FoxNews
992684579784876032,1209516660,lildickytweets
992684579784876032,119509520,chrisbrown
987691720740691969,441101681,TokiaSaifi
991788676438024195,1522163306,ZebraOG
992667499836588033,2162416903,delavinkisses
992667499836588033,1872701480,MomshieArts
992647631569502208,69620713,markets
991788676421160960,32871086,kylegriffin1
991722123826794497,3442678401,lynieg88
991722123826794497,143478020,jophie30
991722123826794497,2484284488,wengcookie
991722123826794497,2771215962,sherrypie18
992036212897730560,294093813,mzwakhengwee
991772339640483840,18224456,_ChelleShock
992036212897730560,294093813,mzwakhengwee
991788680640696322,344961707,Mr_Franshu
991788680636436482,4013788453,LolaBeeswax
991788680636436482,14345566,TheBloggess
991788680636493824,69601582,CaptainCons
992684583958253570,151586600,JoeDiego24
992684583958253570,753172725368258560,neminicedere
992684583958253570,62123765,DPJHodges
992684583958253570,2190315380,MaryKapadia
992668242953912320,861831883067465728,ULTIMATERPE
992668242953912320,1530530995,freezeyoongi
992668242970796032,1336116144,JoshArgonza
991772339607089152,113817190,realBearzerker
991772339607089152,898553073517248512,DarkFilly
991772339611357185,12266442,JanelleMonae
991788680615550977,25666091,jonnymorris1973
991760038233559040,184772476,katelambton
991760038233559040,746954528,TSB
991760038233559040,75859735,PaulPester
991788680615428097,866953267,iamcardib
991788680615428097,866953267,iamcardib
991772339623923714,16041234,RawStory
991772343830626304,351876400,stacygallagher1
991402637185703937,962418838192173056,MerchxGiveaways
992684583958269954,1485132414,wearearticulate
992322028152778752,2805981406,LlangattockPick
992322028152778752,32431251,Keep_Wales_Tidy
