id,original_tweet_id,replied_date,author_id,original_author_id,screen_name,original_screen_name
992684609123958784,330378407403745280,2018-05-05 08:37:08,307542333,20713061,Ajas95,newtgingrich
991805038413668355,991800414600351744,2018-05-02 22:22:02,4856111452,475386375,Dreamvill3__,Joey_bvker
991837745617108992,991810077748150273,2018-05-03 00:32:00,756940067155824641,734914415271632897,brideofJC,rhondachichest1
991903197710110720,991901381421252609,2018-05-03 04:52:05,446962909,1544460330,Marks1970Mark,BigOtrivia
991902768486125568,991902540991291395,2018-05-03 04:50:23,3146806212,3103948358,RxsesMusic,jeremy2xx3
991755965044330498,991687377721667585,2018-05-02 19:07:02,2423323816,301309392,zhoosain,eNCA
991919547115597824,991914778640740352,2018-05-03 05:57:03,424169727,2473652792,alisongrimaldi,recoverthemiles
991837749782220800,991834373950529536,2018-05-03 00:32:01,1699435988,2480793205,EricLevitsky,noreenahenry
991772364798025728,991771980301991936,2018-05-02 20:12:12,103309659,1365529650,gmann49ers,megducks
991755965056864257,991755520280268800,2018-05-02 19:07:02,944996889216405504,923986249454702593,rikkidied,rollajabi
972169927955243008,972167585763594242,2018-03-09 17:59:07,4656012693,4656012693,PoliticalPossum,PoliticalPossum
991919551309758465,991918789615796224,2018-05-03 05:57:04,534642440,534642440,PseudonymousRex,PseudonymousRex
991895720985849856,991895567142916096,2018-05-03 04:22:23,285948789,285948789,KingTrillaX,KingTrillaX
992668276520927232,992657247598596096,2018-05-05 07:32:14,864169376,391137681,naznaz_68,mckaylapartlow
992668234569531392,992507584279015424,2018-05-05 07:32:04,3222399014,70681150,Yaipzz,Sneaky
992639984338460672,992632756235579393,2018-05-05 05:39:49,554013104,554013104,myrene40,myrene40
992684613343555585,984461246941614081,2018-05-05 08:37:09,984127446575443971,228330911,gayoutdoorsex,sharkpizza
991772364772986883,991770300093292546,2018-05-02 20:12:12,510416247,314355858,mccabk,Matt_Smo
991772364777181186,991771177231245313,2018-05-02 20:12:12,956170235383599105,4509139407,brunettedrunkkk,RESPECTionist
991788066598735873,985179906173632512,2018-05-02 21:14:36,943187467401859073,935460027711700993,Zenaide28250206,bestanimaI
992505852044103680,992502108942491648,2018-05-04 20:46:49,403175335,14471411,dcmathisTN,DLind
992684617504378880,992410729075666944,2018-05-05 08:37:10,1481668268,1372632595,kcldav43,WamsuttaLives
992668280715403264,992667645521682434,2018-05-05 07:32:15,499677628,2581978047,chao_mbogho,iBarqe
991772368971317249,991771639409926145,2018-05-02 20:12:13,2923110907,865925587,sqiouyilu,typoxia
991788709996580869,991765745712287744,2018-05-02 21:17:09,119583327,98484157,meantforgreat,dghirardi
991788718372610048,991781517998387200,2018-05-02 21:17:11,243638639,383920709,Edd_Everything,MO_kAtz7
991919555499839488,991918911049302016,2018-05-03 05:57:05,2413850859,625682411,PrettyObvious7,VirusKid_exe
882095961396453377,882095510462631936,2017-07-04 04:37:20,2901359908,2901359908,hollowfeels,hollowfeels
991772368975683584,991772083779768320,2018-05-02 20:12:13,963569540520120321,1352520895,MariaHe01379615,Delvis_CM
991772368984051712,991768907638812672,2018-05-02 20:12:13,967761409772793858,909859700669378562,cypher5c,spanish_btss
992684617508405249,992684328109854721,2018-05-05 08:37:10,1498110714,931902929962876928,wangjckie,FU_KJiwoo99
991837758179098626,991828616513114112,2018-05-03 00:32:03,78207810,461632991,EnoDetah,KiLLaForNiaTV
991919555479031808,989515316244824064,2018-05-03 05:57:05,933122365910904832,23798694,1gudGOD,CharlieDaniels
992494616569053185,991646199324307456,2018-05-04 20:02:10,749306952325488640,749306952325488640,mnkrchrd,mnkrchrd
992494616569053185,991646199324307456,2018-05-04 20:02:10,749306952325488640,749306952325488640,mnkrchrd,mnkrchrd
991755969246978051,991753080424329217,2018-05-02 19:07:03,3424396648,290243035,Croakinc36,mannynation73
991837758191648768,991806713916526597,2018-05-03 00:32:03,1467114314,887160547954876416,JjVause,ReignsOverYou
991689775609499650,991159156957700096,2018-05-02 14:44:01,34236725,2297257854,quads_guy,a_mittelstadt
991772373165588480,991770414400483328,2018-05-02 20:12:14,45615598,202988091,Alphastream,HighScoreKid
991805050996576258,991803428493058053,2018-05-02 22:22:05,1566462554,812241421482754048,DeadlyAndMasked,CapBloodyNine
991771859023810561,991771510187708416,2018-05-02 20:10:12,67238208,67238208,frypanmfula,frypanmfula
991744564028420096,991741056046829568,2018-05-02 18:21:44,47379354,47379354,leahmcelrath,leahmcelrath
992668284897013760,992636680241909760,2018-05-05 07:32:16,954133518228967424,156735736,DodiDuan,Deorro
991527232895045632,991527041412481024,2018-05-02 03:58:08,965709536538406912,965709536538406912,Makisig12,Makisig12
992684621719453696,992684570645381120,2018-05-05 08:37:11,781372845049860096,781372845049860096,ldehasuju,ldehasuju
