id,country_code,name,place_type
991059379939168256,US,Reserve,city
991147115559702529,US,Waco,city
992663606566244353,IN,Mumbai,city
991647398286970882,CA,Mississauga,city
991689373786693632,CA,Mississauga,city
991647398286970882,CA,Mississauga,city
991689373786693632,CA,Mississauga,city
992534897922371585,GB,Glasgow,city
989574897964728321,US,Canton,city
992660045447024640,US,Cockeysville,city
992660045447024640,US,Cockeysville,city
992684133817225216,GB,Sutton,city
991925554940014593,US,Las Vegas,city
991925554940014593,US,Las Vegas,city
992056837850648576,US,DuPont,city
990990467914350592,US,Los Angeles,city
992667800895479809,NG,Abuja,city
992667800895479809,NG,Abuja,city
991925554940014593,US,Las Vegas,city
991925554940014593,US,Las Vegas,city
990917813429682176,US,Los Angeles,city
991161443042111489,US,Michigan,admin
991161443042111489,US,Michigan,admin
991878109568712705,FI,Espoo,city
992589273953177601,US,Foundation Field,poi
991690982696435712,US,Rubidoux,city
991516995920199680,US,Durham,city
989653079426453504,US,Los Angeles,city
991690991089270785,US,Phoenix,city
991633977327915009,NG,Ikotun,city
992684957259755520,ZA,Kingsburgh,city
991903449385062400,US,New Orleans,city
991531611693891584,US,Los Angeles,city
991706427373883392,US,Charlotte,city
991706427373883392,US,Charlotte,city
991903449385140224,US,Texas,admin
991903449385140224,US,Texas,admin
992254534511546368,US,Hutchinson,city
991330507135832065,US,Nashville,city
991689613742780417,US,Honolulu,city
991686741965836290,US,Houston,city
991093498362318848,US,El Monte,city
991764955023183872,EC,Guayaquil,city
991568715002019841,US,Manhattan,city
992701201811673088,ZA,Johannesburg,city
982744905754861569,US,Philadelphia,city
992684990822600704,US,Syracuse,city
982744905754861569,US,Philadelphia,city
992684990822600704,US,Syracuse,city
991805281687437312,US,North Carolina,admin
991919832340803585,PH,Republic of the Philippines,country
991772574496493570,GB,Harrogate,city
991772898590371846,IE,Dun Laoghaire-Rathdown,city
991513702582153216,US,Flint,city
991805285873397760,US,Washington,city
991791813106298881,US,Pennsylvania,admin
991791813106298881,US,Pennsylvania,admin
991844887422119937,CA,Vancouver,city
992663611226120192,ES,Barcelone,city
991733926594048000,US,Washington,city
